                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.72622,                0.59046,                 1.1292,                 0.7794,                0.62062,                 1.1446,                0.90278,                0.90314,                0.92883,                0.64093,                 1.0429,                0.59802,                 1.5641,                 1.0661,                0.56775,                 1.5635,               0.007162,               0.007162,               0.007162
                     89,                0.72574,                0.58473,                 1.1271,                0.77524,                0.61425,                 1.1396,                0.90691,                0.90217,                0.92743,                0.63761,                 1.0403,                 0.6006,                 1.5645,                  1.067,                 0.5677,                 1.5655,               0.007129,               0.007129,               0.007129
                     90,                0.72253,                0.58564,                 1.1296,                  0.774,                0.61145,                 1.1425,                0.91099,                0.89108,                0.92807,                0.63879,                 1.0387,                0.60022,                 1.5643,                 1.0631,                0.56486,                 1.5631,               0.007096,               0.007096,               0.007096
                     91,                0.72199,                0.57282,                 1.1269,                0.77174,                0.60152,                 1.1405,                0.91196,                0.89663,                0.93043,                0.63859,                 1.0374,                0.60127,                 1.5622,                 1.0635,                 0.5665,                 1.5635,               0.007063,               0.007063,               0.007063
                     92,                0.71348,                0.56819,                 1.1218,                0.76326,                0.59753,                 1.1335,                0.90044,                0.90743,                0.92742,                0.63616,                  1.039,                0.60213,                 1.5661,                  1.063,                0.57121,                 1.5636,                0.00703,                0.00703,                0.00703
                     93,                 0.7131,                0.57092,                 1.1201,                 0.7598,                0.60119,                 1.1326,                0.90234,                0.90365,                0.92775,                0.63791,                 1.0361,                0.60473,                 1.5658,                 1.0585,                0.57653,                 1.5623,               0.006997,               0.006997,               0.006997
                     94,                0.71276,                0.57387,                 1.1204,                 0.7661,                0.60427,                 1.1342,                0.89202,                0.90997,                0.92603,                 0.6354,                  1.034,                0.60908,                 1.5636,                 1.0537,                0.58508,                 1.5597,               0.006964,               0.006964,               0.006964
                     95,                0.70932,                0.57156,                 1.1159,                0.75872,                0.59995,                 1.1302,                0.89709,                0.90642,                0.92743,                0.63691,                 1.0344,                0.60977,                 1.5643,                 1.0502,                0.59121,                 1.5559,               0.006931,               0.006931,               0.006931
                     96,                0.70711,                0.56779,                  1.117,                0.76058,                0.58977,                 1.1308,                0.89128,                0.91265,                0.92446,                0.63514,                 1.0336,                0.60966,                 1.5644,                   1.05,                  0.595,                 1.5555,               0.006898,               0.006898,               0.006898
                     97,                0.70508,                0.57465,                 1.1173,                 0.7552,                0.60065,                 1.1303,                0.90355,                0.89181,                0.92476,                0.63557,                 1.0335,                0.61225,                 1.5653,                 1.0526,                0.59152,                 1.5596,               0.006865,               0.006865,               0.006865
                     98,                0.69983,                0.56712,                 1.1169,                0.75111,                0.59774,                 1.1308,                0.90456,                0.89209,                0.92326,                0.63322,                 1.0316,                0.61824,                 1.5637,                 1.0526,                0.59596,                 1.5614,               0.006832,               0.006832,               0.006832
                     99,                0.69664,                0.56594,                 1.1142,                0.74038,                0.60396,                 1.1254,                0.90435,                0.90077,                0.92514,                0.63652,                 1.0312,                0.62095,                 1.5641,                  1.055,                0.59136,                 1.5641,               0.006799,               0.006799,               0.006799
                    100,                0.69263,                0.55831,                 1.1117,                0.74066,                0.58755,                  1.123,                 0.9071,                0.89721,                0.92609,                0.63847,                 1.0316,                0.62239,                 1.5647,                 1.0571,                0.58943,                 1.5658,               0.006766,               0.006766,               0.006766
                    101,                0.69064,                0.54595,                 1.1082,                0.73872,                0.56945,                 1.1204,                0.90647,                0.89096,                0.92597,                0.63738,                 1.0319,                0.62414,                 1.5659,                 1.0562,                0.59189,                 1.5674,               0.006733,               0.006733,               0.006733
                    102,                0.70053,                0.56233,                 1.1138,                0.74895,                0.58837,                 1.1266,                0.90023,                0.90272,                  0.926,                0.63798,                 1.0318,                0.62439,                 1.5675,                 1.0569,                0.58699,                 1.5694,                 0.0067,                 0.0067,                 0.0067
                    103,                 0.6948,                0.55455,                  1.113,                 0.7445,                0.58748,                 1.1261,                0.89715,                0.89751,                0.92653,                0.63891,                 1.0312,                 0.6253,                 1.5673,                 1.0572,                0.58594,                 1.5704,               0.006667,               0.006667,               0.006667
